datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-12 14:29:00-04:00,46.63,46.63,46.63,46.63,1,46.63,1,0.022336394299888873,0.01816584366804117
2024-03-12 14:37:00-04:00,47.06,47.06,47.06,47.06,2,47.06,1,0.009179272478986977,0.017296953564677472
2024-03-12 15:08:00-04:00,47.06,47.06,47.05,47.05,3,47.0533,3,-0.00021251726782800517,0.01578748710297588
2024-03-12 15:30:00-04:00,47.4,47.4,47.4,47.4,1,47.4,1,0.007411362669642596,0.009591488169430212
2024-03-12 15:44:00-04:00,47.18,47.18,47.18,47.18,1,47.18,1,-0.004652154721501933,0.010340946743298936
2024-03-13 10:17:00-04:00,46.6,46.6,46.6,46.6,2,46.6,2,-0.012369532847928966,0.008857165933490625
2024-03-13 10:19:00-04:00,46.65,46.65,46.65,46.65,4,46.65,1,0.0010723861617525365,0.007339231272018397
2024-03-13 10:32:00-04:00,46.7,46.7,46.7,46.7,1,46.7,1,0.0010712373814989462,0.007428381701751339
2024-03-13 10:39:00-04:00,46.6,46.6,46.6,46.6,1,46.6,1,-0.0021436235432514827,0.005558619441667705
2024-03-13 10:42:00-04:00,46.66,46.66,46.66,46.66,25,46.66,1,0.0012867254616839574,0.005852092892295886
2024-03-13 11:28:00-04:00,46.4,46.4,46.4,46.4,30,46.4,1,-0.00558780736107467,0.0030030016616626617
2024-03-13 11:29:00-04:00,46.29,46.29,46.29,46.29,1,46.29,1,-0.00237350418903004,0.002839556799365084
2024-03-13 12:05:00-04:00,46.6,46.6,46.6,46.6,297,46.6,1,0.006674586088420753,0.004656688002793822
2024-03-13 12:09:00-04:00,46.44,46.44,46.44,46.44,1,46.44,1,-0.003439384301909598,0.004809531333879834
2024-03-13 12:38:00-04:00,46.54,46.54,46.54,46.54,5,46.54,1,0.002151001044455203,0.0049126659152123634
2024-03-13 13:02:00-04:00,47.11,47.11,47.11,47.11,1,47.11,1,0.012173134837804245,0.006494287788915637
2024-03-13 13:10:00-04:00,47.24,47.24,47.24,47.24,7,47.24,1,0.0027556986172116993,0.005793211892148446
2024-03-13 13:15:00-04:00,47.18,47.18,47.18,47.18,2,47.18,1,-0.0012709173496325832,0.005984342462880419
2024-03-13 13:26:00-04:00,47.27,47.27,47.27,47.27,1,47.27,1,0.0019057708256160488,0.005071761318253682
2024-03-13 13:35:00-04:00,47.08,47.11,46.92,47.1,12,47.0883,9,-0.0036028437827728688,0.006028980211391532
2024-03-13 14:35:00-04:00,47.2,47.2,47.2,47.2,1,47.2,1,0.0021208915691373065,0.002719888871320004
2024-03-13 14:37:00-04:00,47.12,47.12,47.12,47.12,7,47.12,1,-0.001696353248178184,0.002465240478240916
2024-03-13 14:43:00-04:00,47.0,47.0,47.0,47.0,1,47.0,1,-0.002549937633272936,0.0026252697117098694
2024-03-13 14:48:00-04:00,47.01,47.01,47.01,47.01,1,47.01,1,0.0002127433259806466,0.0022814235046039544
2024-03-13 15:27:00-04:00,46.16,46.16,46.16,46.16,1,46.16,1,-0.018246722836194884,0.008148405064886188
2024-03-13 15:50:00-04:00,46.36,46.38,46.36,46.38,10,46.366,2,0.00475470962754132,0.008711288048886424
2024-03-14 09:30:00-04:00,46.94,46.94,46.93,46.93,2,46.935,2,0.011788797978940835,0.01115580987089706
2024-03-14 09:31:00-04:00,46.78,46.78,46.78,46.78,1,46.78,1,-0.0032013686502931904,0.011185004057804144
2024-03-14 09:33:00-04:00,46.64,46.64,46.64,46.64,5,46.64,3,-0.0029972191137961346,0.011194533277810687
2024-03-14 09:35:00-04:00,46.82,46.82,46.82,46.82,1,46.82,1,0.0038519200205278104,0.0062318203702361324
2024-03-14 09:36:00-04:00,46.74,46.74,46.74,46.74,14,46.74,1,-0.0017101329520530228,0.006403376601446946
2024-03-14 09:53:00-04:00,44.19,44.19,44.19,44.19,1,44.19,1,-0.05610180996806324,0.02480219405871844
2024-03-14 09:56:00-04:00,44.21,44.21,44.21,44.21,1,44.21,1,0.00045248869550329474,0.02517839134646841
